latitude,longitude
37.8087,-122.4769
37.808700111111115,-122.47689072222222
37.808700222206795,-122.47688144573303
37.80870033328704,-122.47687217053223
37.80870046021827,-122.476861571775
37.80870060299323,-122.47684965006576
37.808700761603745,-122.47683640608757
37.808700920182794,-122.47682316473716
37.80870109458513,-122.47680860214167
37.808701300652004,-122.47679139555778
37.80870150666573,-122.4767741934121
37.80870174431255,-122.47675434990215
37.808701997727056,-122.47673318979108
37.808702282727864,-122.4767093922233
37.808702599282334,-122.4766829599248
37.80870294735408,-122.47665389593436
37.80870332690296,-122.47662220360297
37.808703706271096,-122.47659052636315
37.808704101258066,-122.47655754495126
37.80870451184075,-122.47652326129712
37.808704953778616,-122.47648635948529
37.80870542702041,-122.47644684379512
37.80870593151119,-122.47640471881493
37.80870645143699,-122.47636130501095
37.80870697102236,-122.47631791963268
37.80870750600223,-122.47627324881388
37.80870807206937,-122.47622598220758
37.80870865344504,-122.47617743733969
37.808709234393895,-122.47612892810989
37.808709830606055,-122.47607914439425
37.80871044204666,-122.47602808910395
37.80871105301412,-122.4759770733207
37.80871167916252,-122.47592478992918
37.80871230481398,-122.47587254803241
37.80871296122663,-122.47581773757572
37.80871361709228,-122.47576297279441
37.80871427241137,-122.47570825365042
37.80871495836403,-122.47565097660359
37.80871565929406,-122.4755924489459
37.80871639072289,-122.47553137463835
37.808717152565244,-122.47546776080189
37.8087179291996,-122.47540291183284
37.80871872058077,-122.4753368315054
37.80871954216429,-122.4752682292818
37.80872037836912,-122.47519840617899
37.80872124461537,-122.47512607461657
37.80872210989913,-122.47505382342256
37.80872298965579,-122.47498036374131
37.808723899251234,-122.47490441252185
37.8087248231807,-122.4748272644117
37.808725746010246,-122.47475020814454
37.80872669846555,-122.47467067812659
37.80872766509247,-122.47458996477893
37.808728661159314,-122.47450679319736
37.80872965594155,-122.47442372888074
37.80873064944083,-122.4743407716907
37.80873164165882,-122.47425792148913
37.808732632597156,-122.474175178138
37.8087336222575,-122.47409254149953
37.808734641053306,-122.47400747204952
37.80873568886615,-122.47391997967708
37.80873673524449,-122.47383260708585
37.808737780190285,-122.47374535411187
37.808738823705504,-122.47365822059136
37.808739880894805,-122.47356994528498
37.808740936615784,-122.4734817925832
37.80874199087049,-122.47339376231572
37.80874307374067,-122.47330334265527
37.8087441550639,-122.47321305216576
37.80874523484238,-122.47312289066267
37.808746328053815,-122.47303160750754
37.80874743463564,-122.47293920792508
37.80874853959273,-122.47284694400868
37.80874964292745,-122.47275481555914
37.80875075953024,-122.47266157922647
37.808751904203184,-122.47256599903598
37.80875306197049,-122.47246932546604
37.80875421794602,-122.47237280150996
37.80875537213253,-122.47227642693619
37.80875653930716,-122.47217896785429
37.8087577194035,-122.47208042981008
37.80875892708225,-122.4719795886346
37.808760132796124,-122.4718789115261
37.80876136590813,-122.47177594667356
37.80876261162039,-122.47167192970001
37.80876388449319,-122.47156564482135
37.8087651843797,-122.47145710429776
37.80876648197078,-122.47134875544295
37.808767806378334,-122.47123816741228
37.808769142922245,-122.47112656599558
37.808770477026435,-122.47101516829574
37.808771808695354,-122.4709039739409
37.80877315238169,-122.47079177613185
37.80877452243176,-122.47067737695065
37.8087758898994,-122.47056319340282
37.808777269156735,-122.4704480254154
37.80877866012681,-122.4703318794141
37.80878006273212,-122.47021476187079
37.808781491179076,-122.47009548654962
37.80878293104794,-122.4699752574992
37.80878436803136,-122.46985526938397
37.808785802135105,-122.46973552172112
37.80878723336495,-122.46961601402879
37.80878869001105,-122.46949438407948
37.80879017190686,-122.46937064577932
37.80879166479927,-122.4692459892624
37.808793168606144,-122.46912042138837
37.80879466922041,-122.46899512009693
37.80879619463817,-122.46886774771419
37.80879774468569,-122.468738318746
37.80879931918669,-122.46860684791231
37.80880090405996,-122.46847451099441
37.80880249921935,-122.4683413151856
37.808804104578286,-122.46820726771413
37.80880570624235,-122.46807352876463
37.80880733177139,-122.46793779709014
37.80880896723804,-122.46780123562479
37.808810626265114,-122.46766270686466
37.80881229498725,-122.46752336856629
37.808813973314955,-122.46738322820252
37.808815647546744,-122.46724342984798
37.80881734484946,-122.46710170507157
37.80881903794259,-122.46696033179511
37.80882072683658,-122.4668193091468
37.80882241154185,-122.46667863625706
37.808824118957205,-122.46653606707443
37.80882583548049,-122.46639273738027
37.80882756102063,-122.46624865477865
37.80882929548625,-122.46610382689926
37.80883103878568,-122.4659582613968
37.80883277755391,-122.46581307424913
37.80883453827981,-122.46566605363653
37.808836307562956,-122.46551831849392
37.808838085310555,-122.46536987656938
37.80883985829633,-122.46522183225714
